Kelas 1,Kelas 2,Kelas 3,Kelas 4,Sektor
A,,,,PERTANIAN
,1,,,PERTANIAN TANAMAN
,,11,,PERTANIAN TANAMAN SEMUSIM
,,,111,PERTANIAN SEREALIA (BUKAN PADI)
,,,112,PERTANIAN PADI
,,,113,PERTANIAN SAYURAN
,,,114,PERKEBUNAN TEBU
,,,115,PERKEBUNAN TEMBAKAU
,,,116,PERTANIAN TANAMAN BERSERAT
,,,119,PERTANIAN TANAMAN SEMUSIM LAINNYA
,,12,,PERTANIAN TANAMAN TAHUNAN
,,,121,PERTANIAN BUAH ANGGUR
,,,122,PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS
,,,123,PERTANIAN BUAH JERUK 
,,,124,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS)
,,,125,PERTANIAN SAYURAN DAN BUAH SEMAK DAN BUAH BIJI KACANG-KACANGAN LAINNYA
,,,126,PERKEBUNAN BUAH-BUAHAN PENGHASIL MINYAK
,,,127,PERTANIAN TANAMAN UNTUK BAHAN MINUMAN
,,,128,PERKEBUNAN TANAMAN REMPAH-REMPAH
,,,129,PERKEBUNAN TANAMAN TAHUNAN LAINNYA
,,13,,PERTANIAN TANAMAN HIAS DAN PENGEMBANGBIAKAN TANAMAN
,,,130,PERTANIAN TANAMAN HIAS DAN PENGEMBANGBIAKAN TANAMAN
,,14,,PETERNAKAN
,,,141,PETERNAKAN SAPI DAN KERBAU
,,,142,PETERNAKAN KUDA DAN SEJENISNYA
,,,143,PETERNAKAN UNTA DAN SEJENISNYA
,,,144,PETERNAKAN DOMBA DAN KAMBING
,,,145,PETERNAKAN BABI
,,,146,PETERNAKAN UNGGAS
,,,149,PETERNAKAN LAINNYA
,,16,,JASA PENUNJANG PERTANIAN DAN PASCA PANEN
,,,161,JASA PENUNJANG PERTANIAN
,,,162,JASA PENUNJANG PETERNAKAN
,,,163,JASA PASCA PANEN
,,,164,PEMILIHAN BENIH TANAMAN UNTUK PENGEMBANGBIAKAN
,,17,,PERBURUAN
,,,171,PERBURUAN DAN PENANGKAPAN SATWA LIAR
,,,172,PENANGKARAN TUMBUHAN/SATWA LIAR
,2,,,PENGELOLAAN KEHUTANAN DAN PENEBANGAN
,,21,,PENGELOLAAN HUTAN
,,,211,PEMANFAATAN HUTAN TANAMAN
,,,212,PEMANFAATAN HUTAN ALAM
,,,213,PEMANFAATAN HASIL HUTAN BUKAN KAYU
,,,214,PENGUSAHAAN PERBENIHAN TANAMAN KEHUTANAN
,,22,,PEMANENAN DAN PEMUNGUTAN KAYU
,,,220,PEMANENAN DAN PEMUNGUTAN KAYU
,,23,,PEMUNGUTAN HASIL HUTAN BUKAN KAYU
,,,230,PEMUNGUTAN HASIL HUTAN BUKAN KAYU
,,24,,JASA PENUNJANG KEHUTANAN
,,,240,JASA PENUNJANG KEHUTANAN
,3,,,PERIKANAN
,,31,,PERIKANAN TANGKAP
,,,311,PENANGKAPAN IKAN DI LAUT
,,,312,PENANGKAPAN IKAN DI PERAIRAN DARAT
,,,313,JASA PENANGKAPAN IKAN DI LAUT
,,,314,JASA PENANGKAPAN IKAN DI PERAIRAN DARAT
,,,315,PENANGKAPAN/PENGAMBILAN JENIS IKAN YANG DILINDUNGI DAN/ATAU TERMASUK DALAM APPENDIKS CITES
,,32,,PERIKANAN BUDIDAYA
,,,321,BUDIDAYA IKAN LAUT
,,,322,BUDIDAYA IKAN AIR TAWAR
,,,323,JASA BUDIDAYA IKAN LAUT
,,,324,JASA BUDIDAYA IKAN AIR TAWAR
,,,325,BUDIDAYA IKAN AIR PAYAU
,,,326,JASA BUDIDAYA IKAN AIR PAYAU
,,,327,PENGEMBANGBIAKAN JENIS IKAN YANG DILINDUNGI DAN/ATAU TERMASUK DALAM APPENDIKS CITES
B,,,,PERTAMBANGAN DAN PENGGALIAN
,5,,,PERTAMBANGAN BATU BARA DAN LIGNIT
,,51,,PERTAMBANGAN BATU BARA
,,,510,PERTAMBANGAN BATU BARA
,,52,,PERTAMBANGAN LIGNIT
,,,520,PERTAMBANGAN LIGNIT
,6,,,PERTAMBANGAN MINYAK BUMI DAN GAS ALAM DAN PANAS BUMI
,,61,,PERTAMBANGAN MINYAK BUMI
,,,610,PERTAMBANGAN MINYAK BUMI
,,62,,PERTAMBANGAN GAS ALAM DAN PENGUSAHAAN TENAGA PANAS BUMI
,,,620,PERTAMBANGAN GAS ALAM DAN PENGUSAHAAN TENAGA PANAS BUMI
,7,,,PERTAMBANGAN BIJIH LOGAM
,,71,,PERTAMBANGAN PASIR BESI DAN BIJIH BESI
,,,710,PERTAMBANGAN PASIR BESI DAN BIJIH BESI
,,72,,PERTAMBANGAN BIJIH LOGAM YANG TIDAK MENGANDUNG BESI
,,,721,PERTAMBANGAN BIJIH URANIUM DAN TORIUM
,,,729,PERTAMBANGAN BIJIH LOGAM LAINNYA YANG TIDAK MENGANDUNG BESI
,,73,,PERTAMBANGAN BIJIH LOGAM MULIA
,,,730,PERTAMBANGAN BIJIH LOGAM MULIA
,8,,,PERTAMBANGAN DAN PENGGALIAN LAINNYA
,,81,,PENGGALIAN BATU
,,,810,PENGGALIAN BATU
,,89,,PERTAMBANGAN DAN PENGGALIAN LAINNYA YTDL
,,,891,PERTAMBANGAN MINERAL
,,,892,EKSTRAKSI TANAH GEMUK (PEAT)
,,,893,EKSTRAKSI GARAM
,,,899,PERTAMBANGAN DAN PENGGALIAN LAINNYA YTDL
,9,,,AKTIVITAS JASA PENUNJANG PERTAMBANGAN
,,91,,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM
