Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
ADIGUNA EKA SENTRA,20118,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
BUANA ARTA TECHSINDO,28113,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN UMUM,INDUSTRI MESIN DAN TURBIN
BRAYAT WIROHUSODO,Not Found,,,,
DOLARINDO INTRAVALAS PRIMATAMA,Not Found,,,,
HADE SUKSES SELARAS,Not Found,,,,
INDOWOOYANG,10399,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH-BUAHAN DAN SAYURAN
A.W FABER- CASTELL INDONESIA,Not Found,,,,
AARTI JAYA,,,,,
AARTI JAYA VELVET INDUSTRI,13930,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI KARPET DAN PERMADANI
ABACUS CASH SOLUTION,Not Found,,,,
ABADI MAKMUR ANUGERAH,Not Found,,,,
ACCES PRIMA NUSANTARA,Not Found,,,,
ACURRA SOLIDTECH ADISEJAHTERA,Not Found,,,,
ADILAFI,Not Found,,,,
ADITYA MANDIRI KONSTRUKSI,Not Found,,,,
ADVANCED POWER TECH,Not Found,,,,
ADYACEDA AMANDELIS,Not Found,,,,
ADYAWINSA STAMPING INDUSTRIES,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
AFI COMMUNICATIONS,Not Found,,,,
AGANSA PRIMATAMA,Not Found,,,,
AGRA DIPA RAHARJA,Not Found,,,,
AGRONESIA,22192,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI KARET DAN BARANG DARI KARET,INDUSTRI BARANG DARI KARET LAINNYA
AGUNG RAHARDJA MANUNGGAL YUDHA,Not Found,,,,
AIKO NEGARA DAHA,Not Found,,,,
AIRLANGGA JAYA MANDIRI,Not Found,,,,
AKBAR BUDI SAKTI,Not Found,,,,
AKSA ETHES NARATAMA,Not Found,,,,
AKSES MAJU BERSAMA,Not Found,,,,
ALFATIH INDO TEKNOLOGI,Not Found,,,,
ALMASGAS,Not Found,,,,
ALTHAF FAJAR MANDIRI,Not Found,,,,
AMANAH MITRA MANDIRI,Not Found,,,,
AMARYLLIS WIJAYA KUSUMA,Not Found,,,,
AMONG INSAN UTAMA,Not Found,,,,
ANABA INDONESIA,Not Found,,,,
ANDALIRA CIA ABADI,Not Found,,,,
ANEKA PIRANTI INTIKARSA,Not Found,,,,
ANEWA CIA INDONESIA,Not Found,,,,
ANGEL JAYA GLOBALINDO,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
ANTINA MANDIRI SEJAHTERA,Not Found,,,,
ANUGERAH CAHYA PERKASA,Not Found,,,,
ANUGERAH KALINDO UTAMA,Not Found,,,,
ANUGERAH PATRIAWIRA,Not Found,,,,
ANUGERAH SENTRA MEDIKA,Not Found,,,,
ANUGRAH BUMI CIHERANG,Not Found,,,,
ANUGRAH TATA SARANA,Not Found,,,,
ANUGRAHMITRA SELARAS,Not Found,,,,
ARDA CIA KEMASINDO,Not Found,,,,
ARIF JAYA MAKMUR,Not Found,,,,
ARMAS LOGISTIC SERVICE,Not Found,,,,
AROW MULTI USAHA,Not Found,,,,
ARRA MANDIRI ENERGY,Not Found,,,,
ARTA CITRA HARMONI,,,,,
ARTAMAS KURNIA,Not Found,,,,
ARTHA MANDIRI ALKESINDO,Not Found,,,,
ARTHA SABENA PUTRA,Not Found,,,,
ARTHA UTAMA GEMILANG FOODINDO,Not Found,,,,
